epoch,batch,train_loss,train_accuracy,test_loss,test_accuracy,test_precision,test_recall,test_f1-score
3,261.0,1.6818981,0.40625,,,,,
3,262.0,1.9081129,0.46875,,,,,
3,263.0,1.3757757,0.53125,,,,,
3,264.0,1.6215454,0.4375,,,,,
3,265.0,1.7670169,0.375,,,,,
3,266.0,1.7791823,0.375,,,,,
3,267.0,1.5719851,0.5,,,,,
3,268.0,2.1821795,0.34375,,,,,
3,269.0,1.184302,0.625,,,,,
3,270.0,1.5338621,0.4375,,,,,
3,271.0,1.5900978,0.5,,,,,
3,272.0,1.2965764,0.65625,,,,,
3,273.0,1.351808,0.53125,,,,,
3,274.0,1.7779362,0.375,,,,,
3,275.0,1.4713799,0.4375,,,,,
3,276.0,1.7085596,0.46875,,,,,
3,277.0,1.3318232,0.5625,,,,,
3,278.0,1.4290076,0.5,,,,,
3,279.0,1.9359174,0.40625,,,,,
3,280.0,1.3861592,0.5,,,,,
3,281.0,1.4106842,0.59375,,,,,
3,282.0,1.6809283,0.34375,,,,,
3,283.0,1.6193577,0.4375,,,,,
3,284.0,1.5570511,0.5625,,,,,
3,285.0,1.4371343,0.5625,,,,,
3,286.0,2.1176915,0.4375,,,,,
3,287.0,1.5191329,0.5,,,,,
3,288.0,1.4582096,0.4375,,,,,
3,289.0,1.1966293,0.625,,,,,
3,290.0,1.8662823,0.34375,,,,,
3,291.0,1.253394,0.5,,,,,
3,292.0,1.2551012,0.5625,,,,,
3,293.0,2.316501,0.3125,,,,,
3,294.0,1.4348973,0.5625,,,,,
3,295.0,1.3542689,0.4375,,,,,
3,296.0,1.6338161,0.5,,,,,
3,297.0,1.5990925,0.375,,,,,
3,298.0,1.4548095,0.5833333333333334,,,,,
3,,,,2.507209,0.3898305084745763,0.4924088130180507,0.395,0.38385279771736425
4,299.0,1.318337,0.5625,,,,,
4,300.0,1.7741812,0.375,,,,,
4,301.0,1.2530586,0.59375,,,,,
4,302.0,1.2568423,0.59375,,,,,
4,303.0,1.3863066,0.5,,,,,
4,304.0,1.9384229,0.46875,,,,,
4,305.0,1.2750785,0.59375,,,,,
4,306.0,1.5691761,0.5,,,,,
4,307.0,1.6346118,0.4375,,,,,
4,308.0,1.280907,0.5625,,,,,
4,309.0,1.4866087,0.53125,,,,,
4,310.0,1.658703,0.34375,,,,,
4,311.0,1.0763464,0.65625,,,,,
4,312.0,1.9196064,0.375,,,,,
4,313.0,1.5948001,0.46875,,,,,
4,314.0,1.2958959,0.46875,,,,,
4,315.0,1.537468,0.40625,,,,,
4,316.0,1.5594711,0.53125,,,,,
4,317.0,1.114487,0.625,,,,,
4,318.0,1.5742968,0.5,,,,,
4,319.0,1.6510738,0.34375,,,,,
4,320.0,1.8266771,0.4375,,,,,
4,321.0,1.459044,0.59375,,,,,
4,322.0,1.8755319,0.34375,,,,,
4,323.0,1.3234392,0.53125,,,,,
4,324.0,1.3218864,0.5625,,,,,
4,325.0,1.5561969,0.40625,,,,,
4,326.0,1.2259473,0.53125,,,,,
4,327.0,1.4128488,0.53125,,,,,
4,328.0,2.4979253,0.28125,,,,,
4,329.0,1.7168671,0.40625,,,,,
4,330.0,1.59509,0.5,,,,,
4,331.0,1.3857671,0.59375,,,,,
4,332.0,2.2942767,0.4375,,,,,
4,333.0,1.3271472,0.5,,,,,
4,334.0,1.3476297,0.625,,,,,
4,335.0,1.8470465,0.34375,,,,,
4,336.0,1.3404658,0.53125,,,,,
4,337.0,1.8223705,0.34375,,,,,
4,338.0,1.6269008,0.4375,,,,,
4,339.0,2.037063,0.40625,,,,,
4,340.0,2.235815,0.3125,,,,,
4,341.0,1.6546115,0.46875,,,,,
4,342.0,1.618008,0.4375,,,,,
4,343.0,1.8462764,0.4375,,,,,
4,344.0,1.6235657,0.4375,,,,,
4,345.0,1.6401072,0.4375,,,,,
4,346.0,1.5234927,0.5,,,,,
4,347.0,2.0280075,0.34375,,,,,
4,348.0,1.6641533,0.53125,,,,,
4,349.0,1.7624664,0.34375,,,,,
4,350.0,1.479283,0.46875,,,,,
4,351.0,1.5725245,0.4375,,,,,
4,352.0,1.8331616,0.46875,,,,,
4,353.0,1.2685974,0.65625,,,,,
4,354.0,1.5281515,0.40625,,,,,
4,355.0,1.2534708,0.53125,,,,,
4,356.0,1.8509636,0.46875,,,,,
